"","year","age_group_5_years","race_eth","first_degree_hx","age_menarche","age_first_birth","BIRADS_breast_density","current_hrt","menopaus","bmi_group","biophx","breast_cancer_history","count"
"416341",2003,7,1,0,0,1,3,0,2,1,0,0,117
"301484",2002,7,1,9,9,9,2,9,2,9,0,9,11
"662532",2005,7,1,0,9,9,2,0,2,9,1,0,915
"1107470",2009,8,3,0,9,3,2,0,2,1,1,0,10
"662623",2005,7,1,0,9,9,3,1,2,9,0,0,532
"546171",2004,7,3,0,0,1,9,9,2,9,0,0,10
"1017022",2008,10,1,1,1,1,9,0,2,1,0,0,9
"687084",2005,9,1,0,9,0,2,9,2,9,0,0,37
"974213",2008,6,3,0,9,9,4,0,1,9,0,0,16
"260113",2002,5,1,0,9,9,2,0,1,9,0,1,2
"219925",2001,11,1,0,9,9,9,9,2,9,9,9,243
"655897",2005,6,5,1,9,9,2,0,2,2,1,1,1
"400466",2003,6,1,0,9,1,9,1,2,1,0,0,34
"840161",2007,4,9,0,9,9,1,0,9,9,0,0,10
"395553",2003,6,1,0,0,4,3,1,2,1,0,0,36
"887129",2007,8,1,0,0,1,3,9,2,9,1,9,6
"1022582",2008,11,1,0,1,3,2,0,2,3,0,0,5
"1118961",2009,9,3,0,9,9,9,9,2,9,0,9,26
"625585",2005,5,1,0,9,9,2,0,1,9,0,0,1584
"10260",2000,4,1,0,2,1,3,0,1,1,0,0,130
"330420",2002,9,9,9,9,9,9,9,2,9,9,9,1209
"588518",2004,11,1,1,9,9,2,0,2,9,0,0,278
"541899",2004,7,1,0,9,9,1,0,2,1,0,0,76
"85477",2000,9,3,0,1,1,3,1,2,1,0,0,1
"745868",2006,5,3,0,2,2,4,0,1,1,0,0,6
"779323",2006,7,5,0,1,2,2,0,2,1,0,0,4
"890660",2007,8,1,0,9,9,4,0,2,1,0,0,35
"1073307",2009,6,1,0,9,9,1,0,9,9,0,0,169
"189589",2001,8,1,0,9,4,9,1,2,1,1,0,31
"287031",2002,6,3,0,9,3,9,0,2,9,0,0,84
"861671",2007,6,1,0,9,9,2,0,3,9,0,0,231
"28935",2000,5,1,9,9,9,3,0,9,9,0,9,1336
"733124",2006,4,3,9,1,9,3,0,1,2,0,1,1
"907458",2007,9,9,0,9,9,3,1,2,9,1,0,14
"725466",2006,3,6,0,9,4,3,0,1,2,0,0,1
"1073377",2009,6,1,0,9,9,2,0,2,3,0,0,59
"985397",2008,7,1,1,9,1,2,9,2,9,0,0,25
"765778",2006,6,5,0,1,0,3,0,9,1,1,1,1
"187581",2001,8,1,0,1,3,3,0,2,2,0,9,1
"94258",2000,10,1,9,9,9,9,9,2,2,9,9,251
"901372",2007,9,1,0,9,4,9,0,2,3,0,0,28
"546976",2004,7,3,0,9,4,9,9,2,2,0,0,4
"757726",2006,6,1,0,9,9,9,0,9,9,0,0,540
"222027",2001,11,2,0,9,9,3,0,2,9,0,0,100
"676286",2005,8,1,0,9,9,3,0,2,9,0,0,1045
"148602",2001,5,5,0,9,0,3,9,9,3,0,0,1
